PUNTO 1: estraete ed ordinate in ordine di frequenza decrescente, indicando anche la relativa frequenza
i 20 token più frequenti escludendo la punteggiatura del file positivo.txt : 
I 	occorrenza 245
the 	occorrenza 222
to 	occorrenza 163
a 	occorrenza 145
and 	occorrenza 135
it 	occorrenza 99
is 	occorrenza 70
of 	occorrenza 69
with 	occorrenza 66
that 	occorrenza 65
this 	occorrenza 61
for 	occorrenza 60
but 	occorrenza 60
on 	occorrenza 55
n't 	occorrenza 53
have 	occorrenza 50
you 	occorrenza 48
game 	occorrenza 47
my 	occorrenza 43
was 	occorrenza 43
in 	occorrenza 41

i 20 token più frequenti escludendo la punteggiatura del file negativo.txt : 
the 	occorrenza 184
I 	occorrenza 163
to 	occorrenza 135
and 	occorrenza 133
a 	occorrenza 107
it 	occorrenza 102
of 	occorrenza 82
is 	occorrenza 72
this 	occorrenza 64
in 	occorrenza 59
for 	occorrenza 52
that 	occorrenza 48
my 	occorrenza 43
on 	occorrenza 43
not 	occorrenza 42
have 	occorrenza 37
with 	occorrenza 34
was 	occorrenza 31
n't 	occorrenza 30
you 	occorrenza 26
from 	occorrenza 26



i 20 sostantivi più frequenti del file positivo.txt : 
game 	occorrenza 47
PC 	occorrenza 33
gaming 	occorrenza 32
settings 	occorrenza 30
one 	occorrenza 27
max 	occorrenza 17
games 	occorrenza 17
– 	occorrenza 14
review 	occorrenza 14
mouse 	occorrenza 14
FPS 	occorrenza 14
machine 	occorrenza 13
play 	occorrenza 13
computer 	occorrenza 13
fans 	occorrenza 13
things 	occorrenza 12
use 	occorrenza 11
keyboard 	occorrenza 11
thing 	occorrenza 11
off 	occorrenza 10
performance 	occorrenza 9

i 20 sostantivi più frequenti del file negativo.txt : 
product 	occorrenza 21
one 	occorrenza 21
’ 	occorrenza 19
music 	occorrenza 16
computer 	occorrenza 14
face 	occorrenza 13
work 	occorrenza 12
s 	occorrenza 12
Bieber 	occorrenza 10
ingredients 	occorrenza 10
support 	occorrenza 9
way 	occorrenza 9
mask 	occorrenza 9
today 	occorrenza 8
Justin 	occorrenza 8
time 	occorrenza 8
try 	occorrenza 7
talent 	occorrenza 7
days 	occorrenza 7
starch 	occorrenza 7
anything 	occorrenza 7



i 20 aggettivi più frequenti del file positivo.txt : 
gaming 	occorrenza 32
max 	occorrenza 17
good 	occorrenza 15
more 	occorrenza 15
only 	occorrenza 10
first 	occorrenza 10
able 	occorrenza 10
little 	occorrenza 9
i 	occorrenza 9
front 	occorrenza 8
most 	occorrenza 8
frame-rate 	occorrenza 8
other 	occorrenza 7
Windows 	occorrenza 7
WiFi 	occorrenza 6
cool 	occorrenza 6
red 	occorrenza 6
own 	occorrenza 6
few 	occorrenza 6
graphic 	occorrenza 6
nice 	occorrenza 6

i 20 aggettivi più frequenti del file negativo.txt : 
more 	occorrenza 20
’ 	occorrenza 19
s 	occorrenza 12
only 	occorrenza 11
first 	occorrenza 11
new 	occorrenza 10
other 	occorrenza 8
better 	occorrenza 7
great 	occorrenza 7
same 	occorrenza 7
disappointed 	occorrenza 6
acne 	occorrenza 6
good 	occorrenza 6
t 	occorrenza 6
long 	occorrenza 6
few 	occorrenza 6
much 	occorrenza 6
high 	occorrenza 6
skin 	occorrenza 5
personal 	occorrenza 5



I 20 bigrammi di token più frequenti che non contengono punteggiatura, articoli e congiunzioni nel file:  positivo.txt
(u'do', u"n't") 	occorrenza 19
(u'I', u'did') 	occorrenza 16
(u'I', u'have') 	occorrenza 16
(u'max', u'settings') 	occorrenza 16
(u'I', u'do') 	occorrenza 15
(u'it', u"'s") 	occorrenza 14
(u'I', u'was') 	occorrenza 14
(u'did', u"n't") 	occorrenza 13
(u'so', u'I') 	occorrenza 13
(u'to', u'be') 	occorrenza 12
(u'I', u"'m") 	occorrenza 12
(u'to', u'get') 	occorrenza 11
(u'I', u'would') 	occorrenza 11
(u'I', u'could') 	occorrenza 10
(u'able', u'to') 	occorrenza 10
(u'to', u'run') 	occorrenza 9
(u'to', u'see') 	occorrenza 8
(u'I', u'can') 	occorrenza 8
(u'it', u'was') 	occorrenza 8
(u'would', u'be') 	occorrenza 8
(u'would', u'like') 	occorrenza 7

I 20 bigrammi di token più frequenti che non contengono punteggiatura, articoli e congiunzioni nel file:  negativo.txt
(u'I', u'am') 	occorrenza: 13
(u'to', u'be') 	occorrenza: 12
(u'\u2019', u's') 	occorrenza: 12
